Page Name,Word-Level Accuracy,Character-Level Accuracy,Word-Level Errors,Character-Level Errors
GK1_page-0101,100,100,0,0
GK1_page-0102,100,100,0,0
GK1_page-0103,100,100,0,0
GK1_page-0104,100,100,0,0
GK1_page-0105,100,100,0,0
GK1_page-0106,100,100,0,0
GK1_page-0107,100,100,0,0
GK1_page-0108,100,100,0,0
GK1_page-0109,100,100,0,0
GK1_page-0110,100,100,0,0
GK1_page-0111,100,100,0,0
GK1_page-0112,100,100,0,0
GK1_page-0113,100,100,0,0
GK1_page-0114,100,100,0,0
GK1_page-0115,100,100,0,0
GK1_page-0116,100,100,0,0
GK1_page-0117,100,100,0,0
GK1_page-0118,100,100,0,0
GK1_page-0119,100,100,0,0
GK1_page-0120,100,100,0,0
GK1_page-0121,99.43,99.85,1,1
GK1_page-0122,100,100,0,0
GK1_page-0123,100,100,0,0
GK1_page-0124,100,100,0,0
GK1_page-0125,100,100,0,0
GK1_page-0126,100,100,0,0
GK1_page-0127,100,100,0,0
GK1_page-0128,98.69,99.7,2,2
GK1_page-0129,100,100,0,0
GK1_page-0130,100,100,0,0
GK1_page-0131,100,100,0,0
GK1_page-0132,100,100,0,0
GK1_page-0133,100,100,0,0
GK1_page-0134,100,100,0,0
GK1_page-0135,100,100,0,0
GK1_page-0136,100,100,0,0
GK1_page-0137,100,100,0,0
GK1_page-0138,100,100,0,0
GK1_page-0139,100,100,0,0
GK1_page-0140,100,100,0,0
GK1_page-0141,100,100,0,0
GK1_page-0142,100,100,0,0
GK1_page-0143,100,100,0,0
GK1_page-0144,100,100,0,0
GK1_page-0145,100,100,0,0
GK1_page-0146,100,100,0,0
GK1_page-0147,100,100,0,0
GK1_page-0148,100,100,0,0
GK1_page-0150,100,100,0,0
GK1_page-0151,100,100,0,0
GK1_page-0152,100,100,0,0
GK1_page-0153,100,100,0,0
GK1_page-0154,100,100,0,0
page-1,100,100,0,0
page-2,100,100,0,0
page-3,100,100,0,0
page-401,99.31,99.78,2,3
page-410,100,100,0,0
,,,, ,Average Accuracy (Word level),Average Accuracy (Character-Level),Average Errors (Word level),Average Errors (Character-Level),
 ,99.9557,99.9884,0,0
